,feature,variable,type,effect_size,pval,padj,abs_effect_size
42697,F7719,tissue_general,categorical,0.1477776452471681,0.0,0.0,0.1477776452471681
26821,F114,pct_ribo,continuous,-0.1477569341659546,5.3348824929100346e-242,4.077896480881916e-241,0.1477569341659546
43090,F8856,tissue_general,categorical,0.14773774963923364,0.0,0.0,0.14773774963923364
24707,F3843,pct_mito,continuous,-0.14770126342773438,8.126525694740585e-242,6.210769808639828e-241,0.14770126342773438
11343,F3925,Inflammation Response,continuous,0.14761929214000702,1.509406573018464e-241,1.1528255644536656e-240,0.14761929214000702
6718,F52,G2M_score,continuous,0.1475357860326767,2.835264500944583e-241,2.1651110734485907e-240,0.1475357860326767
19976,F9935,n_counts,continuous,-0.14745762944221497,5.113396100399177e-241,3.904139143474674e-240,0.14745762944221497
43016,F8639,tissue_general,categorical,0.1474567397936187,0.0,0.0,0.1474567397936187
10620,F1732,Inflammation Response,continuous,0.14738398790359497,8.910118304731108e-241,6.800766409043422e-240,0.14738398790359497
33574,F286,cell_type,categorical,0.14729629448937592,0.0,0.0,0.14729629448937592
39660,F8618,tissue,categorical,0.14727804337400985,0.0,0.0,0.14727804337400985
38584,F5371,tissue,categorical,0.14726903225434884,0.0,0.0,0.14726903225434884
39402,F7884,tissue,categorical,0.147266863918976,0.0,0.0,0.147266863918976
33625,F425,cell_type,categorical,0.14726559159911337,0.0,0.0,0.14726559159911337
9223,F7737,G2M_score,continuous,0.1472560167312622,2.3372136352568583e-240,1.782458143699308e-239,0.1472560167312622
38716,F5748,tissue,categorical,0.1472541201330575,0.0,0.0,0.1472541201330575
11826,F5431,Inflammation Response,continuous,-0.14722998440265656,2.843511872700794e-240,2.167877171392837e-239,0.14722998440265656
7988,F3907,G2M_score,continuous,0.14718960225582123,3.853965787996369e-240,2.9368083956261713e-239,0.14718960225582123
34620,F3432,cell_type,categorical,0.14706475888315704,0.0,0.0,0.14706475888315704
27233,F1334,pct_ribo,continuous,-0.14701907336711884,1.3904400168175437e-239,1.0588579117509653e-238,0.14701907336711884
12365,F7126,Inflammation Response,continuous,0.14700374007225037,1.56060988810209e-239,1.1882538446251002e-238,0.14700374007225037
41673,F4532,tissue_general,categorical,0.14697491970674942,0.0,0.0,0.14697491970674942
23004,F8869,n_genes,continuous,-0.146888867020607,3.7002190250532577e-239,2.815530294517797e-238,0.146888867020607
11653,F4886,Inflammation Response,continuous,0.14687025547027588,4.255374953520965e-239,3.2363773295705775e-238,0.14687025547027588
29567,F8480,pct_ribo,continuous,-0.14676976203918457,9.050134449765087e-239,6.880744556843296e-238,0.14676976203918457
34399,F2770,cell_type,categorical,0.14669576271994775,0.0,0.0,0.14669576271994775
14071,F1984,Hypoxia,continuous,-0.14667284488677979,1.872982352371585e-238,1.423090108937606e-237,0.14667284488677979
42470,F7006,tissue_general,categorical,0.14667040492219682,0.0,0.0,0.14667040492219682
36472,F9085,cell_type,categorical,0.146669714816455,0.0,0.0,0.146669714816455
35878,F7339,cell_type,categorical,0.1466561174641749,0.0,0.0,0.1466561174641749
25045,F4886,pct_mito,continuous,0.14664903283119202,2.2392365095088233e-238,1.7010939007082263e-237,0.14664903283119202
43414,F9943,tissue_general,categorical,0.1465629995039708,0.0,0.0,0.1465629995039708
5420,F6338,S_score,continuous,0.1465604603290558,4.349826632602509e-238,3.301247958603381e-237,0.1465604603290558
19955,F9885,n_counts,continuous,-0.14651121199131012,6.292108312400354e-238,4.773000498767266e-237,0.14651121199131012
35494,F6144,cell_type,categorical,0.14649866503040937,0.0,0.0,0.14649866503040937
41332,F3481,tissue_general,categorical,0.14649697197445397,0.0,0.0,0.14649697197445397
14609,F3682,Hypoxia,continuous,0.1464647799730301,8.910081860036343e-238,6.75672798808645e-237,0.1464647799730301
33594,F341,cell_type,categorical,0.14640473354465994,0.0,0.0,0.14640473354465994
23038,F8952,n_genes,continuous,-0.14640411734580994,1.4033219172838444e-237,1.0636562889218686e-236,0.14640411734580994
35206,F5281,cell_type,categorical,0.1463246225393461,0.0,0.0,0.1463246225393461
3900,F1656,S_score,continuous,-0.14627674221992493,3.6404940214916524e-237,2.7579963758745232e-236,0.14627674221992493
37097,F793,tissue,categorical,0.14626871028851507,0.0,0.0,0.14626871028851507
11496,F4392,Inflammation Response,continuous,-0.14626671373844147,3.923979438580104e-237,2.9718010057380296e-236,0.14626671373844147
4928,F4814,S_score,continuous,-0.1462325155735016,5.067833939463135e-237,3.8368520822244565e-236,0.1462325155735016
22069,F6039,n_genes,continuous,-0.1462153196334839,5.762381799351898e-237,4.361284671390638e-236,0.1462153196334839
23757,F980,pct_mito,continuous,-0.14620517194271088,6.217046336125754e-237,4.7038804821127735e-236,0.14620517194271088
42699,F7726,tissue_general,categorical,0.14615188401003443,0.0,0.0,0.14615188401003443
28222,F4348,pct_ribo,continuous,-0.14613062143325806,1.0854221949568352e-236,8.211089270822592e-236,0.14613062143325806
42596,F7396,tissue_general,categorical,0.14601351675473712,0.0,0.0,0.14601351675473712
36355,F8753,cell_type,categorical,0.14600721342238945,0.0,0.0,0.14600721342238945
38520,F5169,tissue,categorical,0.14598168576763573,0.0,0.0,0.14598168576763573
38773,F5940,tissue,categorical,0.14596082773508107,0.0,0.0,0.14596082773508107
26574,F9594,pct_mito,continuous,-0.14594000577926636,4.505664899104128e-236,3.4040864788976255e-235,0.14594000577926636
10377,F1020,Inflammation Response,continuous,0.14587368071079254,7.390003232842843e-236,5.580541832283063e-235,0.14587368071079254
37885,F3168,tissue,categorical,0.14581620740283066,0.0,0.0,0.14581620740283066
37840,F3035,tissue,categorical,0.14580984169891295,0.0,0.0,0.14580984169891295
21251,F3496,n_genes,continuous,0.1457461416721344,1.912538350323058e-235,1.443318266886852e-234,0.1457461416721344
20563,F1413,n_genes,continuous,0.14570723474025726,2.5556390739697076e-235,1.9270900044258065e-234,0.14570723474025726
36460,F9046,cell_type,categorical,0.14566363585688893,0.0,0.0,0.14566363585688893
40921,F2218,tissue_general,categorical,0.1456615339292376,0.0,0.0,0.1456615339292376
40271,F287,tissue_general,categorical,0.1456472524763451,0.0,0.0,0.1456472524763451
7618,F2776,G2M_score,continuous,0.14557960629463196,6.611069754131847e-235,4.982699172144523e-234,0.14557960629463196
37423,F1778,tissue,categorical,0.14548795071394002,0.0,0.0,0.14548795071394002
34043,F1689,cell_type,categorical,0.14546694559127576,0.0,0.0,0.14546694559127576
37732,F2725,tissue,categorical,0.1454419674545531,0.0,0.0,0.1454419674545531
38267,F4352,tissue,categorical,0.14541032692287276,0.0,0.0,0.14541032692287276
35778,F7028,cell_type,categorical,0.14540885238868392,0.0,0.0,0.14540885238868392
38059,F3729,tissue,categorical,0.14539878657703245,0.0,0.0,0.14539878657703245
37463,F1883,tissue,categorical,0.1453046068907016,0.0,0.0,0.1453046068907016
42223,F6252,tissue_general,categorical,0.145302502749311,0.0,0.0,0.145302502749311
34835,F4089,cell_type,categorical,0.14529175961909238,0.0,0.0,0.14529175961909238
12680,F8058,Inflammation Response,continuous,-0.14524273574352264,8.08883506311035e-234,6.089622182430266e-233,0.14524273574352264
39273,F7482,tissue,categorical,0.14523418340409103,0.0,0.0,0.14523418340409103
39420,F7920,tissue,categorical,0.14521751803709315,0.0,0.0,0.14521751803709315
39292,F7543,tissue,categorical,0.1451335387436437,0.0,0.0,0.1451335387436437
28278,F4527,pct_ribo,continuous,-0.1451057642698288,2.2353427679397962e-233,1.6820514724494162e-232,0.1451057642698288
21013,F2785,n_genes,continuous,0.14506958425045013,2.923201007644203e-233,2.199298196312987e-232,0.14506958425045013
40043,F9885,tissue,categorical,0.14505628230722242,0.0,0.0,0.14505628230722242
36016,F7763,cell_type,categorical,0.14497336346321063,0.0,0.0,0.14497336346321063
35788,F7065,cell_type,categorical,0.14487361446414593,0.0,0.0,0.14487361446414593
36447,F8998,cell_type,categorical,0.14486845738981238,0.0,0.0,0.14486845738981238
37174,F1052,tissue,categorical,0.14482172862133544,0.0,0.0,0.14482172862133544
34083,F1793,cell_type,categorical,0.1448103351446947,0.0,0.0,0.1448103351446947
22536,F7496,n_genes,continuous,-0.14474481344223022,3.241283578835379e-232,2.4358737198520425e-231,0.14474481344223022
36337,F8690,cell_type,categorical,0.14472772747827778,0.0,0.0,0.14472772747827778
35883,F7360,cell_type,categorical,0.1446902715575699,0.0,0.0,0.1446902715575699
35998,F7711,cell_type,categorical,0.14467205000697844,0.0,0.0,0.14467205000697844
38318,F4512,tissue,categorical,0.14466447763587753,0.0,0.0,0.14466447763587753
12904,F8700,Inflammation Response,continuous,0.14460167288780212,9.34069946014546e-232,7.017426912901716e-231,0.14460167288780212
11261,F3682,Inflammation Response,continuous,0.144546777009964,1.4014876740467703e-231,1.0527328566974393e-230,0.144546777009964
20504,F1247,n_genes,continuous,0.14450006186962128,1.978965522489753e-231,1.4857932399509803e-230,0.14450006186962128
30020,F9935,pct_ribo,continuous,0.14449696242809296,2.0246607039549905e-231,1.519857407363522e-230,0.14449696242809296
33592,F335,cell_type,categorical,0.1444822498758829,0.0,0.0,0.1444822498758829
35931,F7503,cell_type,categorical,0.14445860657667703,0.0,0.0,0.14445860657667703
17310,F1717,n_counts,continuous,0.14444710314273834,2.92599407344305e-231,2.195760394018934e-230,0.14444710314273834
34289,F2408,cell_type,categorical,0.14431702031210183,0.0,0.0,0.14431702031210183
33811,F1016,cell_type,categorical,0.14429353007218979,0.0,0.0,0.14429353007218979
16993,F748,n_counts,continuous,0.14428821206092834,9.450769053369029e-231,7.086489314821838e-230,0.14428821206092834
35601,F6497,cell_type,categorical,0.1442710552041378,0.0,0.0,0.1442710552041378
1680,F5107,n_measured_vars,continuous,0.1442372351884842,1.3761174505636697e-230,1.0311970766238263e-229,0.1442372351884842
36827,F10276,cell_type,categorical,0.14423579545158957,0.0,0.0,0.14423579545158957
33855,F1137,cell_type,categorical,0.14420486685489267,0.0,0.0,0.14420486685489267
35961,F7600,cell_type,categorical,0.14415849454946814,0.0,0.0,0.14415849454946814
19256,F7706,n_counts,continuous,-0.14412611722946167,3.120807370820151e-230,2.3363437643360827e-229,0.14412611722946167
38080,F3792,tissue,categorical,0.14405767406835052,0.0,0.0,0.14405767406835052
41991,F5535,tissue_general,categorical,0.14405596622763073,0.0,0.0,0.14405596622763073
27772,F2971,pct_ribo,continuous,-0.1440376341342926,5.987015411671687e-230,4.479224044307667e-229,0.1440376341342926
34869,F4183,cell_type,categorical,0.14383709016420332,0.0,0.0,0.14383709016420332
34631,F3468,cell_type,categorical,0.14364035158295899,0.0,0.0,0.14364035158295899
39054,F6817,tissue,categorical,0.14363226592448647,0.0,0.0,0.14363226592448647
36255,F8467,cell_type,categorical,0.14361488140298934,0.0,0.0,0.14361488140298934
26795,F32,pct_ribo,continuous,-0.14360353350639343,1.4548672342496825e-228,1.087253459881236e-227,0.14360353350639343
13017,F9016,Inflammation Response,continuous,0.14360105991363525,1.4814087612874488e-228,1.1069120270853705e-227,0.14360105991363525
12855,F8554,Inflammation Response,continuous,-0.14352227747440338,2.6405651238102646e-228,1.9711509552991674e-227,0.14352227747440338
34316,F2499,cell_type,categorical,0.1434507035865935,0.0,0.0,0.1434507035865935
34770,F3901,cell_type,categorical,0.1434339792034854,0.0,0.0,0.1434339792034854
39639,F8554,tissue,categorical,0.14334154474597183,0.0,0.0,0.14334154474597183
13808,F1247,Hypoxia,continuous,0.14330752193927765,1.2740118043323023e-227,9.501269895411881e-227,0.14330752193927765
11389,F4063,Inflammation Response,continuous,0.14330585300922394,1.289532662923826e-227,9.615490769418639e-227,0.14330585300922394
34937,F4416,cell_type,categorical,0.14325613365898418,0.0,0.0,0.14325613365898418
22449,F7237,n_genes,continuous,0.14323151111602783,2.2223425479133044e-227,1.656841735418998e-226,0.14323151111602783
11636,F4844,Inflammation Response,continuous,0.14321662485599518,2.4780746962521397e-227,1.847206061748255e-226,0.14321662485599518
26020,F7902,pct_mito,continuous,-0.1431332379579544,4.560680754434997e-227,3.398000768111226e-226,0.1431332379579544
28536,F5358,pct_ribo,continuous,-0.14311762154102325,5.112252396058516e-227,3.807746612236687e-226,0.14311762154102325
23657,F641,pct_mito,continuous,0.14307692646980286,6.8841273156014335e-227,5.126673268777731e-226,0.14307692646980286
23356,F10040,n_genes,continuous,0.1430574506521225,7.936792161560982e-227,5.909663577389775e-226,0.1430574506521225
38939,F6461,tissue,categorical,0.14299227253123287,0.0,0.0,0.14299227253123287
21584,F4529,n_genes,continuous,-0.14291639626026154,2.2243247709058548e-226,1.655423160716088e-225,0.14291639626026154
16045,F8089,Hypoxia,continuous,0.14286567270755768,3.2213013754989567e-226,2.3962678633929075e-225,0.14286567270755768
8194,F4533,G2M_score,continuous,0.1428597867488861,3.3623577348450406e-226,2.5008002498834775e-225,0.1428597867488861
8760,F6308,G2M_score,continuous,0.1428283303976059,4.230118781094506e-226,3.1457104157934584e-225,0.1428283303976059
4460,F3345,S_score,continuous,-0.1428244560956955,4.351290455393904e-226,3.235305936313818e-225,0.1428244560956955
16175,F8480,Hypoxia,continuous,0.1427411586046219,7.989322209944379e-226,5.937458548034136e-225,0.1427411586046219
29909,F9563,pct_ribo,continuous,0.1427045315504074,1.043466054109422e-225,7.752312710131055e-225,0.1427045315504074
23205,F9529,n_genes,continuous,-0.1426253467798233,1.8583176636390416e-225,1.3801785062603259e-224,0.1426253467798233
35535,F6280,cell_type,categorical,0.14259045846825052,0.0,0.0,0.14259045846825052
27090,F947,pct_ribo,continuous,-0.14256170392036438,2.9542399505234543e-225,2.1923865573295654e-224,0.14256170392036438
15605,F6777,Hypoxia,continuous,-0.1425320953130722,3.665154241289114e-225,2.719536324168171e-224,0.1425320953130722
34329,F2537,cell_type,categorical,0.14245250567990844,0.0,0.0,0.14245250567990844
26256,F8584,pct_mito,continuous,-0.1424160748720169,8.527162242059604e-225,6.32513291042598e-224,0.1424160748720169
11660,F4910,Inflammation Response,continuous,-0.14232423901557922,1.6628817231922405e-224,1.2328787113170943e-223,0.14232423901557922
41496,F3994,tissue_general,categorical,0.14231462046602747,0.0,0.0,0.14231462046602747
19779,F9246,n_counts,continuous,0.14230646193027496,1.8921695625912102e-224,1.4026533565993231e-223,0.14230646193027496
23492,F166,pct_mito,continuous,-0.1422649770975113,2.5582018510879235e-224,1.8957792437026585e-223,0.1422649770975113
16630,F9943,Hypoxia,continuous,-0.14218157529830933,4.688964693361186e-224,3.473702435707689e-223,0.14218157529830933
35958,F7580,cell_type,categorical,0.14217937158824018,0.0,0.0,0.14217937158824018
35269,F5458,cell_type,categorical,0.14215985579197202,0.0,0.0,0.14215985579197202
39753,F8895,tissue,categorical,0.14202640946298878,0.0,0.0,0.14202640946298878
10999,F2875,Inflammation Response,continuous,0.14197638630867004,2.078605287620041e-223,1.5384239229642597e-222,0.14197638630867004
41218,F3127,tissue_general,categorical,0.14197413209340606,0.0,0.0,0.14197413209340606
37852,F3070,tissue,categorical,0.14196644718669238,0.0,0.0,0.14196644718669238
37816,F2971,tissue,categorical,0.14191674408631968,0.0,0.0,0.14191674408631968
10027,F10230,G2M_score,continuous,0.14191336929798126,3.2822433374509613e-223,2.4273478970180098e-222,0.14191336929798126
38058,F3727,tissue,categorical,0.14181395887605105,0.0,0.0,0.14181395887605105
10864,F2442,Inflammation Response,continuous,-0.14178906381130219,8.077879855410962e-223,5.969200450619936e-222,0.14178906381130219
20759,F1960,n_genes,continuous,0.1417742818593979,8.991308438250848e-223,6.643136965915728e-222,0.1417742818593979
39456,F8033,tissue,categorical,0.1417696327349608,0.0,0.0,0.1417696327349608
41559,F4169,tissue_general,categorical,0.1417365057016121,0.0,0.0,0.1417365057016121
40602,F1278,tissue_general,categorical,0.14172901074385302,0.0,0.0,0.14172901074385302
38832,F6104,tissue,categorical,0.14160582914944184,0.0,0.0,0.14160582914944184
42378,F6743,tissue_general,categorical,0.14157840477913572,0.0,0.0,0.14157840477913572
23520,F254,pct_mito,continuous,-0.14157317578792572,3.852476946437763e-222,2.8445699343640647e-221,0.14157317578792572
43205,F9202,tissue_general,categorical,0.14151068746672515,0.0,0.0,0.14151068746672515
26069,F8049,pct_mito,continuous,0.1414797306060791,7.569233082731291e-222,5.58628708949427e-221,0.1414797306060791
25137,F5205,pct_mito,continuous,-0.14144651591777802,9.622117940772006e-222,7.100250505665389e-221,0.14144651591777802
19628,F8791,n_counts,continuous,0.1413954645395279,1.391217012999048e-221,1.026268867379468e-220,0.1413954645395279
38649,F5555,tissue,categorical,0.1413088790011479,0.0,0.0,0.1413088790011479
39407,F7891,tissue,categorical,0.14128007620807873,0.0,0.0,0.14128007620807873
37375,F1636,tissue,categorical,0.1412365067391609,0.0,0.0,0.1412365067391609
28583,F5484,pct_ribo,continuous,-0.14117662608623505,6.747084281038253e-221,4.973255770102611e-220,0.14117662608623505
38383,F4720,tissue,categorical,0.14116902835669645,0.0,0.0,0.14116902835669645
42601,F7426,tissue_general,categorical,0.14109653697823085,0.0,0.0,0.14109653697823085
11061,F3049,Inflammation Response,continuous,-0.14109252393245697,1.2369026975113337e-220,9.115739502791074e-220,0.14109252393245697
35819,F7180,cell_type,categorical,0.141087042995247,0.0,0.0,0.141087042995247
6509,F9660,S_score,continuous,-0.14102953672409058,1.9470234349454296e-220,1.4346939544531077e-219,0.14102953672409058
6586,F9943,S_score,continuous,0.14102032780647278,2.0805655450983026e-220,1.5326146193595417e-219,0.14102032780647278
15086,F5177,Hypoxia,continuous,0.14100097119808197,2.3916355395740144e-220,1.761482416890528e-219,0.14100097119808197
12318,F6949,Inflammation Response,continuous,0.14078344404697418,1.1437523470644178e-219,8.413364722473853e-219,0.14078344404697418
28065,F3879,pct_ribo,continuous,0.14075885713100433,1.3648212038754143e-219,1.003638209414001e-218,0.14075885713100433
36400,F8887,cell_type,categorical,0.14074622321303035,0.0,0.0,0.14074622321303035
4733,F4172,S_score,continuous,0.14061911404132843,3.72413971062638e-219,2.735588097735146e-218,0.14061911404132843
8806,F6458,G2M_score,continuous,0.14061492681503296,3.8378396955642266e-219,2.8186653433169293e-218,0.14061492681503296
37541,F2104,tissue,categorical,0.14045603269266319,0.0,0.0,0.14045603269266319
39574,F8396,tissue,categorical,0.14041798790240936,0.0,0.0,0.14041798790240936
12390,F7192,Inflammation Response,continuous,0.1403723657131195,2.1862680832506598e-218,1.603673827826681e-217,0.1403723657131195
27903,F3364,pct_ribo,continuous,0.14036907255649567,2.2386425644377734e-218,1.6415778204056213e-217,0.14036907255649567
39808,F9046,tissue,categorical,0.140308327994905,0.0,0.0,0.140308327994905
15993,F7947,Hypoxia,continuous,-0.14026705920696259,4.64893046805317e-218,3.4084884858218078e-217,0.14026705920696259
7823,F3389,G2M_score,continuous,-0.1402641087770462,4.748097842619243e-218,3.480651268052067e-217,0.1402641087770462
5393,F6246,S_score,continuous,0.14024274051189423,5.532815613268104e-218,4.0546299785037926e-217,0.14024274051189423
34425,F2846,cell_type,categorical,0.1401915857398177,0.0,0.0,0.1401915857398177
42827,F8084,tissue_general,categorical,0.14018786919284631,0.0,0.0,0.14018786919284631
34680,F3629,cell_type,categorical,0.140154969173968,0.0,0.0,0.140154969173968
13571,F527,Hypoxia,continuous,0.14015460014343262,1.0397792178906477e-217,7.613893376186602e-217,0.14015460014343262
13748,F1081,Hypoxia,continuous,-0.14014838635921478,1.0870197841792145e-217,7.957331145408112e-217,0.14014838635921478
9326,F8038,G2M_score,continuous,-0.140145942568779,1.1061833148411745e-217,8.096349833422164e-217,0.140145942568779
22756,F8144,n_genes,continuous,-0.14012718200683594,1.2651655443520201e-217,9.257077645155773e-217,0.14012718200683594
36521,F9253,cell_type,categorical,0.1400773421293119,0.0,0.0,0.1400773421293119
42967,F8503,tissue_general,categorical,0.1400613160887224,0.0,0.0,0.1400613160887224
11677,F4955,Inflammation Response,continuous,-0.14000414311885834,3.049418142055691e-217,2.2298334969490537e-216,0.14000414311885834
38279,F4388,tissue,categorical,0.1399966571212408,0.0,0.0,0.1399966571212408
18234,F4527,n_counts,continuous,0.1399858146905899,3.4758905358186926e-217,2.540891160244756e-216,0.1399858146905899
38121,F3913,tissue,categorical,0.13994316069424817,0.0,0.0,0.13994316069424817
36700,F9898,cell_type,categorical,0.1399307231117932,0.0,0.0,0.1399307231117932
36674,F9800,cell_type,categorical,0.13993042544396744,0.0,0.0,0.13993042544396744
33916,F1310,cell_type,categorical,0.13984650257177192,0.0,0.0,0.13984650257177192
33984,F1508,cell_type,categorical,0.13983255548829515,0.0,0.0,0.13983255548829515
35265,F5442,cell_type,categorical,0.13973462383896804,0.0,0.0,0.13973462383896804
40016,F9783,tissue,categorical,0.13968553166966324,0.0,0.0,0.13968553166966324
41278,F3318,tissue_general,categorical,0.1396566695458616,0.0,0.0,0.1396566695458616
40068,F9951,tissue,categorical,0.1396471586438074,0.0,0.0,0.1396471586438074
29368,F7902,pct_ribo,continuous,-0.13960425555706024,5.291515362493873e-216,3.8614963112379384e-215,0.13960425555706024
43105,F8912,tissue_general,categorical,0.13959138322334572,0.0,0.0,0.13959138322334572
35536,F6283,cell_type,categorical,0.13957258628244407,0.0,0.0,0.13957258628244407
40400,F648,tissue_general,categorical,0.13950004194304183,0.0,0.0,0.13950004194304183
39334,F7672,tissue,categorical,0.13944137586692523,0.0,0.0,0.13944137586692523
39756,F8908,tissue,categorical,0.13943233097523597,0.0,0.0,0.13943233097523597
19032,F7001,n_counts,continuous,0.1394164264202118,2.0157585925811581e-215,1.4705468755091679e-214,0.1394164264202118
40909,F2178,tissue_general,categorical,0.1393292408827689,0.0,0.0,0.1393292408827689
36977,F444,tissue,categorical,0.13927001901033484,0.0,0.0,0.13927001901033484
5894,F7804,S_score,continuous,0.13926653563976288,5.853473634550947e-215,4.268928212208993e-214,0.13926653563976288
35504,F6172,cell_type,categorical,0.13926279820998366,0.0,0.0,0.13926279820998366
5485,F6562,S_score,continuous,0.13921613991260529,8.374842355545709e-215,6.106807885643101e-214,0.13921613991260529
35079,F4862,cell_type,categorical,0.13915648412191647,0.0,0.0,0.13915648412191647
33596,F346,cell_type,categorical,0.13907665462924942,0.0,0.0,0.13907665462924942
35669,F6705,cell_type,categorical,0.13901498620694475,0.0,0.0,0.13901498620694475
35727,F6885,cell_type,categorical,0.13892242565038332,0.0,0.0,0.13892242565038332
36163,F8201,cell_type,categorical,0.13892169203395444,0.0,0.0,0.13892169203395444
7274,F1740,G2M_score,continuous,0.13889804482460022,8.004801948659905e-214,5.83153678796374e-213,0.13889804482460022
20728,F1891,n_genes,continuous,-0.13875514268875122,2.2031102620967468e-213,1.6044776911901603e-212,0.13875514268875122
42444,F6929,tissue_general,categorical,0.13875418514807952,0.0,0.0,0.13875418514807952
35707,F6821,cell_type,categorical,0.1387452923511248,0.0,0.0,0.1387452923511248
38048,F3688,tissue,categorical,0.13873508016009276,0.0,0.0,0.13873508016009276
6185,F8632,S_score,continuous,0.13854342699050903,9.853286650973437e-213,7.168139871246731e-212,0.13854342699050903
41020,F2521,tissue_general,categorical,0.13848289146541765,0.0,0.0,0.13848289146541765
5623,F6950,S_score,continuous,0.13844700157642365,1.9478107698505382e-212,1.4167874985169837e-211,0.13844700157642365
42272,F6424,tissue_general,categorical,0.1384410631282112,0.0,0.0,0.1384410631282112
4707,F4100,S_score,continuous,0.13842393457889557,2.2925388445659825e-212,1.6672751081845884e-211,0.13842393457889557
38984,F6624,tissue,categorical,0.13840168829424818,0.0,0.0,0.13840168829424818
14586,F3597,Hypoxia,continuous,0.13839656114578247,2.781408524685077e-212,2.022497368430638e-211,0.13839656114578247
16022,F8038,Hypoxia,continuous,0.13836407661437988,3.4986353705058756e-212,2.5432387885600405e-211,0.13836407661437988
34521,F3125,cell_type,categorical,0.1383424198605103,0.0,0.0,0.1383424198605103
40525,F1063,tissue_general,categorical,0.13831259290110215,0.0,0.0,0.13831259290110215
40860,F2007,tissue_general,categorical,0.13829494178832713,0.0,0.0,0.13829494178832713
7577,F2638,G2M_score,continuous,-0.13825824856758118,7.383381607497491e-212,5.3638230425700935e-211,0.13825824856758118
13392,F4,Hypoxia,continuous,0.13823749125003815,8.547686375927202e-212,6.207734053493334e-211,0.13823749125003815
19120,F7292,n_counts,continuous,0.13819831609725952,1.1266781983337947e-211,8.176135704025644e-211,0.13819831609725952
39929,F9486,tissue,categorical,0.13819153505705292,0.0,0.0,0.13819153505705292
387,F1170,n_measured_vars,continuous,0.13805098831653595,3.1823904365657777e-211,2.3076269267127342e-210,0.13805098831653595
14444,F3154,Hypoxia,continuous,0.13802146911621094,3.917594586577258e-211,2.83986225583126e-210,0.13802146911621094
22574,F7618,n_genes,continuous,-0.1379726231098175,5.525633701622207e-211,4.004290396759989e-210,0.1379726231098175
19656,F8869,n_counts,continuous,-0.1379578560590744,6.130987055439505e-211,4.442288224803841e-210,0.1379578560590744
16777,F114,n_counts,continuous,0.1379476636648178,6.587044746280293e-211,4.771993220210972e-210,0.1379476636648178
7273,F1735,G2M_score,continuous,0.13794732093811035,6.6028168157692094e-211,4.7826801080008404e-210,0.13794732093811035
3923,F1731,S_score,continuous,0.13787509500980377,1.0976040419484651e-210,7.946693953384068e-210,0.13787509500980377
25735,F7038,pct_mito,continuous,-0.13783015310764313,1.5056766840928086e-210,1.0897788378134362e-209,0.13783015310764313
6693,F10270,S_score,continuous,0.1377848982810974,2.0697132306827887e-210,1.4975547784588404e-209,0.1377848982810974
37240,F1236,tissue,categorical,0.1377628281183419,0.0,0.0,0.1377628281183419
5949,F7947,S_score,continuous,-0.1377609819173813,2.4483799877379453e-210,1.7712682016553938e-209,0.1377609819173813
42966,F8499,tissue_general,categorical,0.13775530948950165,0.0,0.0,0.13775530948950165
28805,F6161,pct_ribo,continuous,-0.1377497911453247,2.648844561313159e-210,1.915997566016518e-209,0.1377497911453247
35188,F5223,cell_type,categorical,0.1376795963246763,0.0,0.0,0.1376795963246763
14292,F2709,Hypoxia,continuous,0.13754573464393616,1.1101137697376771e-209,8.023631860469453e-209,0.13754573464393616
17064,F991,n_counts,continuous,-0.13753360509872437,1.208779439353677e-209,8.735416262933325e-209,0.13753360509872437
17546,F2393,n_counts,continuous,0.13752330839633942,1.2993213570959682e-209,9.38683579682525e-209,0.13752330839633942
34410,F2801,cell_type,categorical,0.13751673219400437,0.0,0.0,0.13751673219400437
37431,F1793,tissue,categorical,0.13748832860380045,0.0,0.0,0.13748832860380045
12025,F6039,Inflammation Response,continuous,0.13745777308940887,2.0575318835318607e-209,1.4850729049107697e-208,0.13745777308940887
24128,F2027,pct_mito,continuous,0.13745714724063873,2.06652141923761e-209,1.491331669938495e-208,0.13745714724063873
41372,F3614,tissue_general,categorical,0.13742376258863004,0.0,0.0,0.13742376258863004
7052,F1081,G2M_score,continuous,0.13738039135932922,3.539480787117077e-209,2.5535253725373497e-208,0.13738039135932922
18082,F4057,n_counts,continuous,-0.13737910985946655,3.571497013234769e-209,2.576226654421978e-208,0.13737910985946655
19408,F8144,n_counts,continuous,-0.13737282156944275,3.7322825715667164e-209,2.6917917940371614e-208,0.13737282156944275
37873,F3138,tissue,categorical,0.13733846404501612,0.0,0.0,0.13733846404501612
26084,F8081,pct_mito,continuous,0.13728761672973633,6.779573926504516e-209,4.887299124625034e-208,0.13728761672973633
37307,F1433,tissue,categorical,0.13726889067473522,0.0,0.0,0.13726889067473522
42135,F5970,tissue_general,categorical,0.137128590405423,0.0,0.0,0.137128590405423
11224,F3563,Inflammation Response,continuous,-0.13708020746707916,2.8942707263154892e-208,2.0845153270414813e-207,0.13708020746707916
36042,F7848,cell_type,categorical,0.13706132825018832,0.0,0.0,0.13706132825018832
21279,F3588,n_genes,continuous,0.13705264031887054,3.5094850843776237e-208,2.527217466199846e-207,0.13705264031887054
23815,F1151,pct_mito,continuous,0.13703671097755432,3.922794422624556e-208,2.8239781934765507e-207,0.13703671097755432
